start,end,reported_count,parsed_count,unique_incident_links,html_minus_parsed
2025-03-08,2025-03-13,60.0,60,60,0
2025-03-03,2025-03-07,55.0,54,54,0
2025-02-25,2025-03-02,67.0,64,64,0
2025-02-19,2025-02-24,61.0,60,60,0
2025-02-13,2025-02-18,63.0,60,60,0
2025-02-08,2025-02-12,72.0,68,68,0
2025-02-02,2025-02-07,93.0,86,86,0
2025-01-28,2025-02-01,99.0,93,93,0
2025-01-22,2025-01-27,45.0,44,44,0
2025-01-11,2025-01-21,83.0,80,80,0
2024-12-30,2025-01-10,88.0,87,87,0
2024-12-19,2024-12-29,47.0,42,42,0
2024-12-08,2024-12-18,78.0,76,76,0
2024-11-27,2024-12-07,77.0,74,74,0
2024-11-15,2024-11-26,99.0,99,99,0
2024-11-04,2024-11-14,73.0,71,71,0
2024-10-23,2024-11-03,97.0,93,93,0
2024-10-12,2024-10-22,84.0,81,81,0
2024-09-30,2024-10-11,87.0,84,84,0
2024-09-19,2024-09-29,67.0,61,61,0
2024-09-08,2024-09-18,60.0,55,55,0
2024-08-28,2024-09-07,58.0,57,57,0
2024-08-16,2024-08-27,77.0,74,74,0
2024-08-05,2024-08-15,84.0,78,78,0
2024-07-25,2024-08-04,50.0,49,49,0
2024-07-14,2024-07-24,85.0,81,81,0
2024-07-02,2024-07-13,73.0,71,71,0
2024-06-21,2024-07-01,78.0,75,75,0
2024-06-10,2024-06-20,94.0,87,87,0
2024-05-30,2024-06-09,80.0,75,75,0
2024-05-24,2024-05-29,44.0,44,44,0
2024-05-18,2024-05-23,57.0,54,54,0
2024-05-07,2024-05-17,97.0,92,92,0
2024-04-26,2024-05-06,88.0,83,83,0
2024-04-21,2024-04-25,50.0,48,48,0
2024-04-15,2024-04-20,51.0,48,48,0
2024-04-03,2024-04-14,92.0,86,86,0
2024-03-23,2024-04-02,82.0,77,77,0
2024-03-12,2024-03-22,87.0,85,85,0
2024-03-01,2024-03-11,92.0,92,92,0
2024-02-24,2024-02-29,50.0,47,47,0
2024-02-18,2024-02-23,57.0,56,56,0
2024-02-07,2024-02-17,82.0,78,78,0
2024-01-27,2024-02-06,94.0,93,93,0
2024-01-22,2024-01-26,59.0,56,56,0
2024-01-16,2024-01-21,45.0,44,44,0
2024-01-10,2024-01-15,54.0,53,53,0
2024-01-04,2024-01-09,51.0,47,47,0
2023-12-24,2024-01-03,56.0,56,56,0
2023-12-13,2023-12-23,60.0,58,58,0
2023-12-02,2023-12-12,63.0,62,62,0
2023-11-20,2023-12-01,92.0,84,84,0
2023-11-09,2023-11-19,77.0,73,73,0
2023-10-28,2023-11-08,81.0,77,77,0
2023-10-17,2023-10-27,75.0,71,71,0
2023-10-05,2023-10-16,77.0,72,72,0
2023-09-24,2023-10-04,76.0,71,71,0
2023-09-13,2023-09-23,60.0,56,56,0
2023-09-02,2023-09-12,61.0,59,59,0
2023-08-21,2023-09-01,78.0,76,76,0
2023-08-10,2023-08-20,54.0,54,54,0
2023-07-30,2023-08-09,59.0,56,56,0
2023-07-19,2023-07-29,56.0,55,55,0
2023-07-07,2023-07-18,69.0,68,68,0
2023-06-26,2023-07-06,54.0,50,50,0
2023-06-15,2023-06-25,56.0,53,53,0
2023-06-04,2023-06-14,63.0,60,60,0
2023-05-23,2023-06-03,78.0,77,77,0
2023-05-12,2023-05-22,63.0,61,61,0
2023-04-30,2023-05-11,70.0,66,66,0
2023-04-19,2023-04-29,59.0,54,54,0
2023-04-07,2023-04-18,58.0,57,57,0
2023-03-27,2023-04-06,89.0,88,88,0
2023-03-16,2023-03-26,59.0,59,59,0
2023-02-21,2023-03-15,97.0,95,95,0
2023-01-30,2023-02-20,100.0,93,93,0
2023-01-07,2023-01-29,90.0,86,86,0
2022-12-16,2023-01-06,62.0,58,58,0
2022-11-23,2022-12-15,66.0,63,63,0
2022-10-31,2022-11-22,63.0,60,60,0
2022-10-08,2022-10-30,84.0,79,79,0
2022-09-16,2022-10-07,66.0,64,64,0
2022-08-24,2022-09-15,62.0,58,58,0
2022-08-02,2022-08-23,94.0,84,84,0
2022-07-10,2022-08-01,83.0,80,80,0
2022-06-18,2022-07-09,64.0,63,63,0
2022-05-26,2022-06-17,68.0,67,67,0
2022-05-04,2022-05-25,71.0,70,70,0
2022-04-11,2022-05-03,57.0,56,56,0
2022-03-20,2022-04-10,57.0,56,56,0
2022-02-25,2022-03-19,55.0,53,53,0
2022-02-03,2022-02-24,62.0,61,61,0
2022-01-11,2022-02-02,76.0,71,71,0
2021-12-20,2022-01-10,64.0,61,61,0
2021-12-09,2021-12-19,56.0,51,51,0
2021-11-27,2021-12-08,52.0,44,44,0
2021-11-04,2021-11-26,94.0,87,87,0
2021-10-24,2021-11-03,56.0,50,50,0
2021-10-12,2021-10-23,62.0,56,56,0
2021-09-20,2021-10-11,89.0,84,84,0
2021-09-09,2021-09-19,51.0,47,47,0
2021-08-28,2021-09-08,64.0,58,58,0
2021-08-06,2021-08-27,96.0,90,90,0
2021-07-26,2021-08-05,56.0,52,52,0
2021-07-20,2021-07-25,80.0,79,79,0
2021-07-14,2021-07-19,61.0,60,60,0
2021-06-22,2021-07-13,67.0,58,58,0
2021-05-30,2021-06-21,70.0,65,65,0
2021-05-07,2021-05-29,71.0,66,66,0
2021-04-14,2021-05-06,67.0,63,63,0
2021-03-23,2021-04-13,53.0,50,50,0
2021-02-28,2021-03-22,68.0,58,58,0
2021-02-06,2021-02-27,58.0,48,48,0
2021-01-14,2021-02-05,57.0,53,53,0
2020-12-23,2021-01-13,49.0,43,43,0
2020-11-30,2020-12-22,76.0,65,65,0
2020-11-07,2020-11-29,67.0,66,66,0
2020-10-15,2020-11-06,54.0,54,54,0
2020-09-23,2020-10-14,69.0,62,62,0
2020-08-31,2020-09-22,67.0,64,64,0
2020-08-09,2020-08-30,54.0,45,45,0
2020-07-17,2020-08-08,55.0,49,49,0
2020-06-25,2020-07-16,52.0,45,45,0
2020-06-02,2020-06-24,52.0,51,51,0
2020-04-18,2020-06-01,84.0,78,78,0
2020-03-04,2020-04-17,78.0,72,72,0
2020-02-11,2020-03-03,66.0,64,64,0
2020-01-19,2020-02-10,63.0,60,60,0
2019-10-20,2020-01-18,54.0,52,52,0
2018-10-23,2019-10-19,,0,0,0
2010-11-21,2018-10-22,,0,0,0
1995-01-18,2010-11-20,,0,0,0
1963-05-14,1995-01-17,,0,0,0
1900-01-01,1963-05-13,,0,0,0
